jurisdiction,iso3,llm_stage1_label,llm_stage1_confidence,llm_stage2_status,llm_stage2_confidence,human_label,human_announcement_date,human_effective_date,human_status,human_source_type,human_source_url,disagreement_status,citation_quality,included_in_causal_analysis,llm_stage2_adoption_timing_text,llm_stage2_tax_text
"Korea, Rep.",KOR,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,1/1/24,6/30/26,active,primary,https://www.envoyglobal.com/news-alert/the-republic-of-korea-expands-digital-nomad-visa-expansion,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Malaysia,MYS,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,2022-10,2022-10,active,primary,https://nomadsembassy.com/who-can-apply-for-the-malaysia-digital-nomad-visa,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Mauritius,MUS,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,2020-10,2020-10,active,primary,https://www.nomadicexpert.com/visa-guides/digital-nomad-visa-mauritius,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Moldova,MDA,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,9/20/25,9/20/25,active,primary,https://eiglaw.com/moldova-launches-digital-nomad-visa-to-attract-global-talent,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Montenegro,MNE,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,2021,2021,,primary,https://www.iom.int/sites/g/files/tmzbdl486/files/documents/2023-09/pub2023-048-el-mgi-montenegro.pdf,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Namibia,NAM,Qualifying Policy,Medium,Field-level verification incomplete,Low / pending,yes,2022-10,2022-10,active,primary,https://www.fragomen.com/insights/namibia-remote-work-visa-introduced.html,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Philippines,PHL,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,2025,2025-06,announced_but_inactive,primary,https://eiglaw.com/philippines-announces-digital-nomad-visa,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Portugal,PRT,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,2022-10,2022-10,active,primary,https://www.lexidy.com/visas/d8-portugal-digital-nomad-visa,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Romania,ROU,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,2022-01,1/14/22,active,primary,https://citizenremote.com/visas/romania,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Slovenia,SVN,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,2024-07,11/21/25,active_qualifying_policy,primary,https://tiketvisa.com/uz/the-slovenia-digital-nomad-visa-a-comprehensive-guide-for-remote-professionals,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
South Africa,ZAF,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,3/28/24,5/20/24,active,primary,https://kpmg.com/xx/en/our-insights/gms-flash-alert/flash-alert-2024-207.html,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Spain,ESP,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,2023,2023,active,primary,https://www.exteriores.gob.es/Consulados/washington/en/ServiciosConsulares/Paginas/Consular/Telework-visa.aspx,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Thailand,THA,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,2024,7/15/24,active,primary,https://th.usembassy.gov/thai-visas-for-americans,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Uruguay,URY,Qualifying Policy,High,Field-level verification incomplete,Low / pending,yes,2023-05,2023-05,active,primary,https://goldenharbors.com/articles/uruguay-digital-nomad-visa,agree_adopter,primary_source_confirmed,adopter_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Aruba,ABW,No Qualifying Policy,High,,,no,,,,secondary,https://citizenremote.com/visas/aruba,agree_non_adopter_determinate,secondary_source_only_no_program_found,control_candidate,,
Chile,CHL,No Qualifying Policy,Medium,,,no,,,,secondary,https://isitlegalinchile.com/remote-work,agree_non_adopter_determinate,secondary_source_only_no_program_found,control_candidate,,
New Zealand,NZL,No Qualifying Policy,High,,,no,,,,secondary,https://www.dol.gov/sites/dolgov/files/ILAB/legacy/files/ChildLaborReport_Book.pdf,agree_non_adopter_determinate,secondary_source_only_no_program_found,control_candidate,,
St. Lucia,LCA,No Qualifying Policy,High,,,no,,,,secondary,https://unfccc.int/sites/default/files/resource/COVID-19_POLICY%20BRIEF%20July%202021_Part%20B_compressed.pdf,agree_non_adopter_determinate,secondary_source_only_no_program_found,control_candidate,,
Albania,ALB,Qualifying Policy,Medium,Field-level verification incomplete,Low / pending,no,,,,secondary,https://citizenremote.com/visas/albania-digital-nomad-visa,disagree_llm_overcall,secondary_source_only_no_program_found,control_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Andorra,AND,Qualifying Policy,High,Primary-source field verification recorded,Medium-High,no,,,,secondary,https://2021-2025.state.gov/direct-line-for-american-business/investment-opportunities-in-andorra,disagree_llm_overcall,secondary_source_only_no_program_found,control_candidate,Law 42/2022 establishes digital-nomad immigration authorizations.,No DNV-specific income-tax exemption established.
Colombia,COL,Qualifying Policy,High,Primary-source field verification recorded,Medium-High,no,,,,secondary,https://pmc.ncbi.nlm.nih.gov/articles/PMC13046257,disagree_llm_overcall,secondary_source_only_no_program_found,control_candidate,"Resolution 5477 of 2022, Article 46.",No DNV-specific tax exemption established.
Costa Rica,CRI,Qualifying Policy,Medium,Primary-source field verification recorded,Medium-High,no,,,,secondary,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,disagree_llm_overcall,secondary_source_only_no_program_found,control_candidate,Law No. 10008 (2021).,Official programme page states income-tax exemption.
Cyprus,CYP,Qualifying Policy,High,Primary-source field verification recorded,Medium-High,no,,,,secondary,https://pmc.ncbi.nlm.nih.gov/articles/PMC8154112,disagree_llm_overcall,secondary_source_only_no_program_found,control_candidate,Council approval 15 Oct 2021; ceiling raised 3 Mar 2022.,Migration Department states >183 days can trigger tax residence if not tax resident elsewhere.
Czechia,CZE,Qualifying Policy,High,Primary-source field verification recorded,Medium-High,no,,,,secondary,https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,disagree_llm_overcall,secondary_source_only_no_program_found,control_candidate,Digital Nomad Programme currently operative; exact launch date not exposed on retrieved primary page.,Not exposed on retrieved primary page.
Indonesia,IDN,Qualifying Policy,High,Field-level verification incomplete,Low / pending,no,,,,secondary,https://pmc.ncbi.nlm.nih.gov/articles/PMC11387329,disagree_llm_overcall,secondary_source_only_no_program_found,control_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Italy,ITA,Qualifying Policy,High,Primary-source field verification recorded,Medium-High,no,,,,secondary,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,disagree_llm_overcall,secondary_source_only_no_program_found,control_candidate,Digital nomad/remote worker framework operational in 2024.,No DNV-specific tax exemption established.
Kenya,KEN,Qualifying Policy,High,Field-level verification incomplete,Low / pending,no,,,,secondary,https://au.int/sites/default/files/documents/41748-doc-Study_Report-Migration_and_Health-From_Policy_to_Practice_ENG.pdf,disagree_llm_overcall,secondary_source_only_no_program_found,control_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Latvia,LVA,Qualifying Policy,High,Field-level verification incomplete,Low / pending,no,,,,secondary,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,disagree_llm_overcall,secondary_source_only_no_program_found,control_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Malta,MLT,Qualifying Policy,High,Field-level verification incomplete,Low / pending,no,,,,secondary,https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,disagree_llm_overcall,secondary_source_only_no_program_found,control_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Panama,PAN,Qualifying Policy,High,Field-level verification incomplete,Low / pending,no,,,,secondary,https://publications.iom.int/system/files/pdf/iml_34_glossary.pdf,disagree_llm_overcall,secondary_source_only_no_program_found,control_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Sri Lanka,LKA,Qualifying Policy,High,Field-level verification incomplete,Low / pending,no,,,,secondary,https://www.state.gov/report/custom/7ec665f7e5,disagree_llm_overcall,secondary_source_only_no_program_found,control_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
United Arab Emirates,ARE,Qualifying Policy,High,Field-level verification incomplete,Low / pending,no,,,,secondary,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,disagree_llm_overcall,secondary_source_only_no_program_found,control_candidate,Not independently re-derived in this pass; Stage-1 lead retained.,Not independently re-derived from primary tax/immigration source.
Bulgaria,BGR,Unresolved Status,Low,,,yes,2025-12,12/20/25,active,primary,https://www.imidaily.com/europe/bulgaria-launches-the-eus-latest-digital-nomad-visa,llm_missed_adopter,primary_source_confirmed,adopter_candidate,,
Cabo Verde,CPV,Unresolved Status,Low,,,yes,2020-12,2020-12,active,primary,https://wfa.team/visa/digital-nomad-visa-cabo-verde,llm_missed_adopter,primary_source_confirmed,adopter_candidate,,
Guatemala,GTM,Unresolved Status,Low,,,yes,2025-11,10/8/25,active,primary,https://livinginguatemala.com/tramites/igm-residencia-nomada-digital,llm_missed_adopter,primary_source_confirmed,adopter_candidate,,
Kyrgyz Republic,KGZ,Unresolved Status,Low,,,yes,2025,2025,Active,primary,https://kyrgyzstan.iom.int/resources/migration-situation-report-july-december-2025,llm_missed_adopter,primary_source_confirmed,adopter_candidate,,
Nepal,NPL,Unresolved Status,Low,,,yes,2025-05,2026,announced_but_inactive,primary,https://www.attorneynepal.com/blog/nepal-digital-nomad-visa,llm_missed_adopter,primary_source_confirmed,adopter_candidate,,
Afghanistan,AFG,Unresolved Status,Low,,,no,,,,primary,https://www.uscis.gov/i-9-central/special-employment-categories/guidance-for-certain-afghan-nationals-to-maintain-parole-and-employment-authorization-for-up-to-two,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Algeria,DZA,Unresolved Status,Low,,,no,,,,secondary,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Algeria.html,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
American Samoa,ASM,Unresolved Status,Low,,,no,,,,secondary,https://www.nps.gov/npsa/planyourvisit/know-before-you-go.htm,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Angola,AGO,Unresolved Status,Low,,,no,,,,secondary,https://tripplugin.com/digital-nomad-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Armenia,ARM,Unresolved Status,Low,,,no,,,,secondary,https://www.state.gov/report/custom/7ec665f7e5,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Australia,AUS,Unresolved Status,Low,,,no,,,,primary,https://www.dfat.gov.au/about-australia,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Austria,AUT,Unresolved Status,Low,,,no,,,,secondary,https://remoteworkeurope.eu/insights/austria-red-white-red-card-remote-work,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Azerbaijan,AZE,Unresolved Status,Low,,,no,,,,primary,https://migration.gov.az/en/page/75,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Bahrain,BHR,Unresolved Status,Low,,,no,,,,secondary,https://www.state.gov/report/custom/7ec665f7e5,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Bangladesh,BGD,Unresolved Status,Low,,,no,,,,primary,https://bcgdubai.gov.bd/visa-consulate-general-of-the-peoples-republic-of-bangladesh-dubai,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Belarus,BLR,Unresolved Status,Low,,,no,,,,secondary,https://www.belarus.by/en/travel/travel-visas,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Belgium,BEL,Unresolved Status,Low,,,no,,,,secondary,https://citizenremote.com/visas/belgium-digital-nomad-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Belize,BLZ,Unresolved Status,Low,,,no,,,,secondary,https://citizenremote.com/visas/belize-digital-nomad-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Benin,BEN,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/benin,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Bhutan,BTN,Unresolved Status,Low,,,no,,,,secondary,https://hudoc.echr.coe.int/eng?i=001-99407,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Bolivia,BOL,Unresolved Status,Low,,,no,,,,secondary,https://goresident.com/working-visa/bolivia,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Bosnia and Herzegovina,BIH,Unresolved Status,Low,,,no,,,,secondary,https://taxravens.com/en/bosnia-and-herzegovina/residence-work-permits,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Botswana,BWA,Unresolved Status,Low,,,no,,,,secondary,https://www.trade.gov/country-commercial-guides/botswana-business-travel,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
British Virgin Islands,VGB,Unresolved Status,Low,,,no,,,,secondary,https://2021-2025.state.gov/reports/2024-investment-climate-statements/antigua-and-barbuda,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Brunei Darussalam,BRN,Unresolved Status,Low,,,no,,,,secondary,https://www.eria.org/uploads/Bringing-Digital-Nomads-Highly-Skilled-into-ASEAN-web.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Burkina Faso,BFA,Unresolved Status,Low,,,no,,,,secondary,https://www.dol.gov/sites/dolgov/files/ILAB/legacy/files/ChildLaborReport_Book.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Burundi,BDI,Unresolved Status,Low,,,no,,,,secondary,https://www.stampednomad.com/guides/burundi,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Cambodia,KHM,Unresolved Status,Low,,,no,,,,primary,https://www.embassyofcambodiadc.org/business_visa_type-e.html,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Cameroon,CMR,Unresolved Status,Low,,,no,,,,primary,https://www.cameroon-embassy.nl/communique-the-government-of-the-republic-of-cameroon-has-launched-the-electronic-visa-or-e-visa,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Canada,CAN,Unresolved Status,Low,,,no,,,,secondary,https://www.rippling.com/blog/canada-digital-nomad-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Cayman Islands,CYM,Unresolved Status,Low,,,no,,,,secondary,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Central African Republic,CAF,Unresolved Status,Low,,,no,,,,secondary,https://www.state.gov/reports/2025-trafficking-in-persons-report/central-african-republic,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Chad,TCD,Unresolved Status,Low,,,no,,,,secondary,https://td.usembassy.gov/alert-update-on-visa-and-entry-ban-for-u-s-citizens-june-12-2025,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
China,CHN,Unresolved Status,Low,,,no,,,,secondary,https://hrone.com/blog/digital-nomads-in-china-is-it-legal-can-you-work-while-traveling,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Comoros,COM,Unresolved Status,Low,,,no,,,,secondary,https://www.stampednomad.com/guides/comoros,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
"Congo, Dem. Rep.",COD,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/democratic-republic-of-congo,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
"Congo, Rep.",COG,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/republic-of-congo,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Cuba,CUB,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/cuba,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Denmark,DNK,Unresolved Status,Low,,,no,,,,secondary,https://dk.usembassy.gov/visas,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Djibouti,DJI,Unresolved Status,Low,,,no,,,,secondary,https://www.iom.int/news/e-visa-facilitate-travel-djibouti,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Dominican Republic,DOM,Unresolved Status,Low,,,no,,,,secondary,https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
"Egypt, Arab Rep.",EGY,Unresolved Status,Low,,,no,,,,secondary,https://tripplugin.com/digital-nomad-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
El Salvador,SLV,Unresolved Status,Low,,,no,,,,secondary,https://citizenremote.com/visas/el-salvador-digital-nomad-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Equatorial Guinea,GNQ,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/equatorial-guinea,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Eritrea,ERI,Unresolved Status,Low,,,no,,,,secondary,https://www.stampednomad.com/guides/eritrea,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Eswatini,SWZ,Unresolved Status,Low,,,no,,,,primary,https://www.gov.sz/index.php/services-sp-22242747/visa,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Ethiopia,ETH,Unresolved Status,Low,,,no,,,,primary,https://ethiopianembassy.be?page_id=10346,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Fiji,FJI,Unresolved Status,Low,,,no,,,No digital nomad visa policy available; remote workers typically use tourist entries or standard work permits.,primary,https://www.immigration.gov.fj/work-in-fiji,llm_unresolved_human_no_evidence_default,primary_source_confirms_no_program,control_candidate,,
Finland,FIN,Unresolved Status,Low,,,no,,,,secondary,https://fi.usembassy.gov/living-in-finland,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
France,FRA,Unresolved Status,Low,,,no,,,,secondary,https://www.jobbatical.com/blog/france-remote-work-visas-for-employers,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
French Polynesia,PYF,Unresolved Status,Low,,,no,,,,secondary,https://www.france-immigration.com/en/expert-articles/digital-nomad-visas-the-complete-guide,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
"Gambia, The",GMB,Unresolved Status,Low,,,no,,,,secondary,https://gm.usembassy.gov/visas-2,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Georgia,GEO,Unresolved Status,Low,,,no,,,,secondary,https://citizenremote.com/visas/georgia-digital-nomad-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Germany,DEU,Unresolved Status,Low,,,no,,,,secondary,https://pmc.ncbi.nlm.nih.gov/articles/PMC11107943,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Ghana,GHA,Unresolved Status,Low,,,no,,,,secondary,https://www.dol.gov/sites/dolgov/files/ILAB/legacy/files/ChildLaborReport_Book.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Grenada,GRD,Unresolved Status,Low,,,no,,,,secondary,https://nomadsembassy.com/grenada-digital-nomad-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Guam,GUM,Unresolved Status,Low,,,no,,,,secondary,https://www.gao.gov/assets/a274135.html,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Guinea,GIN,Unresolved Status,Low,,,no,,,,secondary,https://baofils.com/wp-content/uploads/2024/07/010_Guinea_Immigration.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Guinea-Bissau,GNB,Unresolved Status,Low,,,no,,,,secondary,https://www.stampednomad.com/guides/guinea-bissau,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Guyana,GUY,Unresolved Status,Low,,,no,,,,secondary,https://592hub.com/blog/guyana-digital-nomads.html,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Haiti,HTI,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/haiti,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
Honduras,HND,Unresolved Status,Low,,,no,,,,secondary,https://www.playroll.com/work-permit-visas/honduras,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
"Hong Kong SAR, China",HKG,Unresolved Status,Low,,,no,,,,secondary,https://esim.holafly.com/visas/hong-kong-digital-nomad-visa,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
India,IND,Unresolved Status,Low,,,no,,,,secondary,https://publications.iom.int/system/files/pdf/pub2025-031-el-mpp-7th-issue.pdf,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
"Iran, Islamic Rep.",IRN,Unresolved Status,Low,,,no,,,,secondary,https://www.greenbacktaxservices.com/blog/digital-nomad-visa-countries,llm_unresolved_human_no_evidence_default,secondary_source_only_no_program_found,control_candidate,,
